,KHDRBS1,P4HA3,CMC1,DCAF5,cg01182099,ADAT3,cg01343313,SFT2D3,cg01588961,CPNE7,ARFIP1,cg02508651,cg02562604,cg02798848,cg03318900,C5orf32,ACBD6,BATF,CASZ1,cg04177251,GPATCH1,ADGRF1,cg04249191,cg04261367,FLJ46321,SH3BGR,LINC01512,ASB10,SCOC,cg04801273,TBCD_a,DNER,cg05550145,cg05612205,HEPACAM,TNPO2,MS4A6A,cg06493072,cg06590074,cg06781656,cg07537095,cg07617198,ELF3,cg07920321,TCF7_a,GLUL,GLIS3,cg08379332,cg08452095,BRSK2,MIR3074,LSP1,SLX4IP,JAKMIP3,SLC30A7,EYA2,cg09407967,NXN,cg09837088,RGS10,ZBTB4,cg10309000,ANXA5,COL18A1,LOC101927267,cg10512122,TNFAIP3,VWF,TMEM200B,cg11610831,CALHM3,VSTM1,cg13007843,cg13122415,MRPL23-AS1,cg13483774,cg13699428,KIF9,CUX1,BIN3,DEF6,TMED10,JAK1,TCF7_b,cg15818005,DAGLA,ZNF354B,cg16228798,KIAA0232,PCBD2,cg16606353,IL11,SNORD74,TMCC1,TBCD_b,ELAVL3,SORT1,LGALS8,cg17742165,ANXA13,cg18198670,TBX4,FAM69A,FAM131A,IL31RA,CHD7,C21orf82,cg18940929,NPC1,XRCC4,KRT78,NEK1,LOC388780,SFSWAP,SMOC1,cg20677278,LRRK1,SGK1,cg21139227,cg21339801,cg21376799,MYOF,cg21494760,EXOC3,ZIC2,cg21818901,cg21820281,cg21931115,NUFIP2,TENM2,RAP2B,CFAP45,STARD7,cg23423086,SSB,KDELR3,C19orf81,TPST1,cg23893830,PVT1,CDKN2C,RNF14,TMCO6,CYP19A1,cg24340935,CXCR5,GDPD4,FRMD4A,PHLPP1,cg24686050,cg24954221,cg25375589,EP400,NME5,ELF1,FAM20C,TCF7_c,SKI,CALHM1,cg26417132,MNAT1,cg27037013,ETV6,cg27164813,ATXN2,MYB
AD170,-9.276198798,-3.313993622,1.549576108,5.500130274,7.22668788,3.775566392,-8.839752477,1.950955043,2.178568342,-2.117203463,-0.664466876,-7.139028831,0.604045107,1.36919671,3.279838449,-4.856154272,1.584691368,2.14590957,4.204372728,-0.390282548,-5.58286173,7.844022195,-0.244116754,1.240915173,3.504881898,0.147377186,2.290244044,0.049262256,1.837967075,2.548691539,1.404364681,5.574276627,1.287814106,2.40767225,3.077252594,0.623300493,3.983300963,2.932925838,2.699419464,0.794025407,-3.103875773,2.492918867,2.320094883,3.109418205,-3.156319615,3.248307343,-4.338507994,2.5663677,1.92247813,3.414821432,1.425587308,-0.5226267,-1.917547111,1.238664491,-2.48400332,-4.57125726,2.857638082,1.813565082,2.621286397,1.44938035,1.931210015,-1.898226506,1.384129525,-1.388935307,0.64022301,1.568741287,0.044698518,-0.156864837,-2.122013303,-3.852456157,2.920452153,1.259225573,-4.252846843,4.62444288,4.659925586,2.596182892,1.92329435,-3.481281496,-0.506446166,1.273448928,-2.589957907,3.195715343,-1.915704658,-2.314575388,4.310415402,4.300442698,3.778601792,2.140736762,3.463724244,1.677004104,2.763834965,6.902418598,-0.681020833,-4.297320377,-1.377953837,-4.679422593,1.612984078,0.820234405,0.28531268,6.01623287,-0.178463269,1.182491354,-5.591553548,-2.033222428,3.618674303,3.657132897,0.401217346,4.73845694,-0.192045724,7.364210144,1.389454496,1.923556041,1.001818699,1.011230487,0.759088695,0.614939889,3.040787056,-4.093348248,1.232381192,3.158526782,1.266029076,-12.67798575,9.432570752,3.393316559,-3.467256451,7.343751808,3.950103378,2.854343493,3.346028296,3.025969032,2.395563043,1.870624959,-4.417525261,5.946274006,1.302312514,-0.539069224,-3.39699903,2.839619561,2.495854286,-0.256910172,-5.875335577,-11.97299617,-4.721066023,1.657595685,-0.693069874,1.268091423,1.658487268,-0.279800192,4.343118632,1.796889839,0.146001392,3.043766775,4.128641091,0.507598589,2.429523186,0.120144642,-2.982027402,-1.122393848,0.397695665,1.983500418,0.008904919,0.110037276,-3.811622605,3.020268,3.751583594,7.195216779
AD017,-8.606473314,-3.31144782,0.991250415,5.233071554,8.564390153,3.891288793,-7.714625635,1.845003774,2.428860538,-2.075055234,0.232039756,-7.055354823,0.43628629,1.271706503,2.497721715,-4.656574211,1.529883005,2.72403934,3.699889349,-0.701746173,-5.191682153,10.83206302,0.248683268,-1.700765528,2.061861195,0.135876195,2.27724613,0.303477555,1.554845521,3.063969296,1.188127836,6.215264243,1.191932143,2.388297674,3.213871711,0.622721431,3.844603933,3.550817575,2.74908961,1.186988533,-2.93948739,2.406145348,2.069885635,2.647119322,-3.135515211,3.771694505,-5.035602119,3.203197691,2.077481816,3.588103792,0.933550345,-0.256523093,-1.689990477,1.575585842,-2.298024872,-4.316593575,3.293011327,1.73700282,2.768190651,1.230019089,2.990574893,-1.392708478,1.63611112,-1.279249194,0.915718107,2.012689065,0.439958981,0.211809146,-2.352374926,-5.082979696,2.852208893,1.087838569,-4.00965457,4.356138676,4.630838686,2.612782996,1.579148918,-3.511962895,-0.540546767,1.710568033,-2.475175387,3.082103448,-1.961209163,-2.45785799,3.822102013,4.399616454,3.884921236,2.196426458,2.808091021,1.622832867,2.918427295,6.569938286,0.036562906,-4.788484034,-1.62904054,-4.78948678,1.520826226,0.811198797,-0.189721115,5.594532035,0.344986022,0.986827555,-4.963330703,-1.951013172,3.225252702,3.205606489,0.099187395,4.707349101,-0.168591142,7.407131247,1.933929252,1.710601703,0.828035101,0.500404253,0.647967273,0.382540006,3.419800948,-5.38642244,1.313476335,3.008156541,1.159082543,-12.39607425,10.04973957,3.398451703,-3.113331581,6.30098942,3.794147022,3.011153833,2.787779854,3.321323286,2.293612284,1.874420461,-3.638355708,5.002240463,0.870478643,-0.195158028,-3.123880066,2.825593615,2.144583944,0.134226049,-5.762177131,-10.97853033,-4.716207017,1.874360809,-0.511168617,1.118196663,1.50201453,0.184135831,4.000617514,1.734995885,0.218088276,2.91947584,4.048203138,0.299124798,1.37641773,-0.35085327,-3.181394509,-1.435517172,0.090582754,1.829955305,0.559431893,0.154064703,-3.810844064,2.794681072,2.884121487,6.916984398
AD344,-8.97582168,-3.355963172,1.847698911,5.391059407,8.523384395,3.830967492,-8.90542475,1.633332614,1.967728568,-2.153573462,-0.516266375,-7.158295695,0.339726983,1.643601106,2.785740936,-5.008206392,1.660954658,2.470739114,5.082157907,-0.597097598,-5.368741458,8.900491688,0.208084652,1.49196377,2.805146549,0.201304968,2.362958971,0.415726944,1.739029193,2.863472854,0.969265804,5.933600011,1.121281166,2.405250412,3.454543931,0.756219633,4.023810385,3.313290445,2.793177957,0.954584027,-3.505885093,2.446511691,2.458813542,2.657443371,-3.167133498,3.844305043,-4.533294801,2.903636671,1.955981825,3.919109638,0.85380048,-0.518506665,-1.645272947,1.475659289,-2.209640123,-4.454551054,2.985674542,1.705249132,2.790424409,1.399257595,1.516101027,-1.275189,1.689657157,-0.780386708,0.699641306,1.679432349,-0.366839456,0.268918138,-2.005681068,-2.341505633,3.19781335,1.057816764,-4.282675089,4.360064513,4.663831098,2.704584066,1.949959136,-2.863964463,-0.883440595,1.66666654,-2.468241096,3.112760864,-2.179621805,-2.360963351,4.281181559,4.13447494,3.561836958,1.988841356,2.200035728,0.819886314,2.888062945,6.44914458,0.489515609,-4.335970732,-1.798569458,-4.461442165,1.841905768,0.604184904,0.278914595,5.73179955,0.012914119,1.072016771,-5.016472286,-2.304186457,2.678341839,3.720874353,0.761718467,4.458604928,-0.542666312,7.512981355,1.911270017,2.546311593,0.99273066,1.019823582,0.949097371,0.648666667,2.751386472,-4.051384797,1.32221379,2.861394137,0.985145842,-11.69876398,9.38477834,3.523429702,-3.254621009,6.884847153,3.860543611,2.89386207,3.166055129,3.180413379,2.585590392,1.840889186,-4.382776298,5.562317991,0.806967199,-0.380311874,-3.089247423,2.850425497,2.219899879,-0.199887353,-5.956320384,-11.97249657,-4.401469596,1.744680539,-0.510923732,1.306555964,1.178672707,-0.231750185,3.637826006,1.207084054,0.147904477,2.741589576,4.492544199,0.414235065,1.121497522,-0.460597169,-2.95427676,-1.407475951,0.175627591,1.555908712,0.122454084,0.015585393,-3.791394527,2.562245103,3.590367306,7.201921507
AD345,-9.21582529,-3.205427671,1.415098743,5.830289859,8.021866253,3.867008755,-8.486392069,2.194730179,1.852309055,-2.39436512,-0.217814301,-7.687438052,0.586624594,1.255310161,2.918969331,-5.121324349,1.76192463,1.25076143,5.971083254,-0.354115573,-5.744828962,7.975357624,-0.230228195,1.701059964,2.374642764,0.065258529,2.254735864,0.181082278,1.897756919,2.751426226,0.874435531,6.037149298,1.886606231,2.193263145,3.0749134,1.068580417,3.681177522,3.37888754,2.743575362,0.582206372,-3.6264381,2.821573877,2.031304338,2.465877763,-3.555048542,3.676573617,-4.269285277,2.867960275,1.899135381,3.51957253,1.364386466,-0.739382274,-2.052711718,1.523372442,-2.637197261,-4.652236807,2.792347184,1.763860125,2.709628501,0.715568735,1.660059632,-1.777413504,1.787930335,-1.473533951,0.25482004,2.170458459,-0.011195675,-0.112499043,-2.190816112,-3.058412586,3.710885014,1.27929827,-4.402171402,4.67070419,4.981026573,2.477390126,1.010729466,-3.408095586,-0.652132384,1.59430219,-2.514456646,3.344273032,-1.846496625,-2.81862903,4.417143552,3.986001235,4.971068871,2.008666836,2.761396578,1.048214704,3.172272535,7.061686221,-1.186608218,-4.61208358,-1.746724645,-4.893680579,1.548085799,1.303218904,0.246923324,5.512084022,-0.135320897,0.661131576,-5.669862039,-1.939062036,3.306346748,3.802827253,-0.108726154,4.583291598,-0.249106985,7.900248289,1.198154881,2.025441888,1.284561483,0.703736043,1.063425288,0.647107085,3.097933622,-3.178763778,1.214033297,3.061617809,1.111565427,-11.52532477,8.256938518,2.863037986,-3.834751036,6.378037239,4.098669011,3.233232753,2.703455786,2.761289239,2.154471205,1.888615796,-4.806782939,5.648153033,0.947557959,-0.634301667,-2.866485133,2.876998014,2.580520298,-0.352676482,-6.259923105,-11.96436608,-4.190818594,1.300460217,-0.000496851,1.375024099,2.047996208,0.544759239,4.052791676,2.145379355,-0.36085496,3.102515814,3.756528278,0.125942498,1.823223715,-0.506514889,-3.431161177,-0.468104569,0.389324743,1.947233653,1.268901735,-0.011418027,-4.247357111,3.370740318,3.593054539,7.357788488
AD475,-8.90782539,-3.156909664,1.749207705,6.424191118,7.543305947,3.680869414,-7.675200198,2.177870813,2.301807768,-2.474669386,-0.234794907,-7.153957348,1.0681391,1.237237709,2.854410122,-5.145166226,2.271358125,2.153440877,4.402274108,-0.720896221,-5.40887522,8.496903585,0.373706695,1.126811976,2.463095917,0.224755126,2.326334304,0.349425109,1.964450059,2.735504282,1.141055963,6.240037763,1.221725021,2.791679252,3.14870936,0.254622095,3.667920097,3.483976086,2.894751714,0.832185373,-3.766259075,3.597206339,2.181081262,2.683238258,-3.322480617,4.105900261,-4.985032281,3.215018524,1.953435492,3.627431043,1.649073171,-0.56298589,-1.227670461,1.373520986,-2.396675524,-4.579362462,2.827035407,1.697245357,2.80541176,1.058376674,1.58142088,-1.646684683,2.223487408,-1.470023572,0.700356185,2.201680678,-0.023170557,0.248798836,-2.334685473,-3.51175385,3.361987733,1.089908284,-4.037680304,4.936861753,5.498032116,2.565993037,1.217367958,-3.223701933,-0.474368228,1.427717246,-2.474784287,2.944864123,-1.318307745,-2.562947481,3.857024259,4.249734239,3.620924334,2.33495846,2.766688749,1.447281525,3.013056187,7.896021444,-0.321344977,-4.600622721,-1.556556905,-4.741515592,1.905931125,1.065085283,0.819022801,6.070604596,-0.261562613,1.332100767,-5.066642502,-1.181568844,4.262620855,3.526528077,0.422572923,5.138948854,-0.324205668,7.76734673,1.581896621,2.01329002,1.312160299,1.281772263,0.754359217,0.726704247,2.820540836,-4.426578426,1.230627001,3.455577398,1.253444292,-12.20936152,9.519364847,3.50426176,-3.401015716,6.387529023,4.353084318,3.33483997,3.844330092,2.960531217,2.417899033,1.916106639,-4.44038154,6.062147443,1.045612519,-0.462279399,-2.88878017,2.575974757,2.563276821,-0.258175461,-5.447993335,-11.7978803,-4.346094647,1.885404416,-0.159032844,1.302706054,2.364053005,-0.119275069,4.020235741,1.63363028,0.173894392,3.81167767,3.636532271,0.288025059,1.674115447,-0.276320729,-3.331449499,-0.917657673,0.396397745,1.604106214,1.418073329,0.098959284,-3.883080998,3.041675824,3.102563977,6.914978476
AD348,-8.304540122,-3.365458676,1.514137238,5.493766359,8.268298486,3.746887741,-8.356484391,1.768566969,2.219554676,-2.057803603,0.570179809,-7.14418885,0.449157849,1.232195262,2.669137044,-4.828305952,1.751844913,2.471478314,5.667116619,-0.555377848,-5.222727467,9.793866613,0.078150898,0.533509376,3.075928691,0.208542601,2.243194671,0.183708199,1.863425821,2.648107178,1.456022887,5.824970542,1.095379755,2.145478273,3.049382444,0.194832308,3.69508326,3.726870064,2.724964873,0.608816972,-3.663641718,2.453706884,2.342148946,2.72414952,-3.172727426,3.987037945,-4.620559471,2.89936605,1.914572864,3.628896865,1.147898986,-0.331794084,-1.827093505,1.256422117,-2.300086548,-4.39497647,2.931512065,1.627819735,2.587576642,1.229867385,2.038813294,-1.643437667,1.485954199,-1.349425262,0.466173195,1.751517788,0.264028122,0.187473496,-2.33889197,-4.283424948,3.185873939,0.953204465,-4.096090964,4.529764106,4.621796553,2.699552364,2.007240453,-2.974759827,-1.151540528,1.546126871,-2.697107209,3.005216871,-1.73550938,-2.50193915,4.094530723,4.14505461,3.244259993,1.712833937,2.510218537,1.818668295,3.108996409,7.269328748,-0.777827306,-4.457401021,-1.650699016,-4.758648349,1.533031496,1.051203536,0.022439351,6.008327215,0.370796769,0.96347684,-4.576370094,-2.034983981,3.394293457,3.45889869,0.257138911,5.321561248,-0.467380747,7.625149345,1.43242781,1.620595144,0.841747609,0.670915993,0.734352282,0.694296292,3.26912917,-3.923522614,1.41909426,3.051054762,0.943134678,-11.59084442,10.17554337,3.093139894,-3.687108984,6.307755752,3.807503411,2.876973421,2.755789903,2.98775308,2.35856448,1.955287622,-4.112153448,5.513301077,1.294079829,-0.463959124,-2.937710301,2.612720273,2.521855732,-0.058275683,-5.753044719,-11.70553166,-4.348683481,2.13700193,-0.028469246,1.088626098,1.690994226,0.27784588,3.760835565,1.30817024,0.188583911,2.86284084,4.394250542,0.190056223,1.305315084,0.493902374,-3.18451308,-1.090252688,0.28371012,1.526127372,0.903798144,0.487868514,-3.4443011,2.748889738,3.685918177,7.056415793
AD001,-9.265215795,-3.095527446,0.552123755,5.328808647,8.325676335,3.775988219,-7.985271533,1.654525611,2.039590632,-2.174436544,-0.692848215,-7.409231743,0.353040671,1.268228546,2.649993482,-5.106872493,1.05164881,2.279995111,4.092956205,-0.467113761,-5.42527342,9.068731539,0.083698097,0.049513615,1.940889588,0.084138499,2.333173522,0.157082359,1.442512883,3.230389761,0.898737287,6.008491627,1.303524785,2.091511156,3.319894954,0.500753513,4.070206932,3.451222034,2.866699761,0.976764685,-3.253794286,2.340664098,2.390265029,2.61572025,-3.4678742,3.404275467,-3.683861654,3.382288844,1.874729612,3.776542783,0.99109209,-0.456999841,-1.605795478,1.656122098,-2.403044462,-4.642747654,3.131513699,1.866997178,2.795414992,0.956466241,1.365302147,-1.490438717,1.860621228,-1.618509342,0.395400715,1.973795844,0.072803964,0.216311215,-2.535036605,-2.671020574,3.283252207,0.913163844,-4.193247635,4.472762828,4.976014115,2.709685916,1.376267219,-3.135654652,-0.591890879,1.794073534,-2.370847272,2.941943973,-2.227815001,-2.779272334,3.783337049,4.044294777,3.564944156,2.083633128,2.4696952,1.323723951,3.029883519,6.924930229,-0.347864051,-4.390153283,-1.642073253,-4.813570027,1.410851886,0.970284882,0.191475517,6.10810485,-0.213492987,1.00473589,-5.593582974,-3.063019689,2.903230605,3.277604678,0.31497831,5.13356773,-0.327081897,7.695921421,1.383688221,1.954247216,0.9104995,0.621706315,0.965706965,0.753953458,3.27359335,-4.796777755,1.332002858,2.875777418,1.471057479,-11.4158031,9.645943983,3.25460783,-3.430159467,6.142192303,3.874170394,2.872588359,2.671453601,3.299849868,2.571859121,1.924659286,-4.213719222,5.743468408,1.317709795,-0.399513671,-3.30024226,2.458342397,2.103102106,-0.101261557,-5.635942203,-12.44143111,-5.280302464,1.71648628,-0.546374547,1.137100437,1.41362136,-0.308966249,3.526798476,1.428999168,0.138256442,2.94329082,4.038319319,0.048365388,1.292795829,0.30276561,-3.553246596,-1.107878358,0.209715587,1.686103875,1.506708336,0.013009838,-3.912985764,2.92838657,3.045756883,6.758626829
AD229,-8.51254906,-3.742685422,0.944091924,5.3639888,8.396433654,3.476074847,-8.077426528,2.196363812,2.38363749,-2.238129144,-0.837954514,-6.637585362,0.333438935,1.401319325,2.657308676,-5.238604275,1.497991419,2.332903088,4.223743296,-0.736944437,-5.625018738,7.956763665,0.751770083,0.308529837,2.077020448,0.469436265,2.20345216,0.273655707,1.397972851,2.95931065,1.5254219,6.246392016,1.094413613,2.376281714,3.176731119,0.580183386,3.365856098,3.461794567,2.668369363,1.359924478,-3.347297263,2.903897667,2.279335096,2.273944469,-3.269799745,4.02408943,-5.319248336,2.464934483,1.799462304,3.459280313,0.827730502,-0.568020474,-1.423464967,1.602190126,-2.371015252,-4.508347543,3.158925734,1.893484094,2.616935297,1.194916839,1.49157831,-1.516747996,1.49020403,-1.364023439,0.734652118,1.470463284,0.36009254,0.074474711,-2.354159033,-2.101814566,3.372566048,1.230739721,-4.449865807,4.676725254,4.846021726,2.568479559,1.4584206,-3.353360011,-0.753152903,1.606604786,-2.707067935,3.090249929,-1.867216339,-2.714527183,4.09503274,4.757967902,4.802309349,2.081544361,2.522154531,1.164544992,3.034331236,6.416518816,0.434171222,-4.947896948,-1.665268286,-4.681600957,1.573823213,0.898950467,0.30570113,5.584360618,-0.325657002,1.113943976,-5.149890701,-2.765606722,2.888998469,3.534650422,0.491614988,4.788921964,-0.494219893,7.400615413,1.704872786,1.955854468,0.89378723,0.851188469,0.871036108,0.233824021,3.118282165,-4.613781286,1.250442838,2.869118186,0.860695404,-11.33260038,9.436101066,3.421994704,-2.97117967,7.054531747,3.969783175,2.966287111,3.101196833,3.05022474,2.053386369,1.878160206,-4.049179269,5.608413337,0.303959864,-0.528313698,-2.572447335,2.808508608,2.265668821,-0.224927503,-5.929907568,-11.2279829,-4.155865901,1.445725399,-0.121289302,1.232277343,1.503197342,-0.057082875,4.036522634,1.787058394,-0.134134756,2.538773294,3.458595006,0.095889734,1.858732225,0.138958282,-3.264562622,-1.335950284,0.158612759,1.517222631,0.400573146,-0.053417606,-3.825585641,2.903202545,3.120844493,6.776593257
AD062,-9.744039536,-3.541353132,1.146353296,5.346858347,7.983323396,4.060281234,-7.153763007,1.755254155,1.921201137,-2.291889974,1.151671804,-7.497010793,0.40590401,1.456195849,2.425352402,-4.869641673,1.684777017,2.423006586,4.600213773,-0.760693437,-5.648125016,10.1137174,-0.001907541,1.030038712,3.26421457,0.260007452,2.20138575,0.436488441,1.655833088,2.765907539,0.969420492,6.000234921,1.030169014,2.143881656,3.205779277,0.88132089,3.54307318,3.430944438,3.030027886,0.812725601,-3.503472343,2.422076206,2.029399145,2.317961763,-3.303671845,3.879138593,-4.685492675,2.72843264,1.986988871,3.490847712,1.572901398,-0.236027584,-1.770793092,1.374209009,-2.101617002,-4.411279575,3.073538613,1.612735681,2.809242003,1.612034971,1.723428379,-1.305597495,1.693380151,-1.115144493,0.67676883,1.920623717,-0.135740374,-0.185034256,-2.302866107,-3.845607923,3.087194025,1.029501854,-4.429030971,4.197498693,4.830383783,2.551356622,1.557322001,-3.333488896,-0.86746841,1.379034347,-2.40909256,2.931358188,-1.85501543,-2.403805701,3.638623353,4.118053515,5.21636165,1.761183343,2.29690503,1.532650881,2.742631932,6.487195635,-0.002706383,-5.121355983,-1.364275307,-4.531656785,1.411265277,0.979195778,-0.154974485,5.902588362,-0.503077281,1.219316186,-5.180320231,-2.24880444,3.500757035,3.399148628,0.472881224,4.654370856,-0.390857649,7.885577463,1.637948749,1.583843045,0.859914861,0.828803219,0.528602162,0.280727791,3.40565908,-4.121594392,1.340519458,2.92963445,1.055348597,-11.43081498,9.482240465,3.298994966,-3.443887678,7.059194321,3.883784126,2.858151501,2.817084109,3.243684587,2.572077961,1.8503664,-4.492537594,5.259655345,0.851196514,-0.235663552,-2.910524059,2.536657261,2.161089159,0.183677171,-6.383696909,-11.82248525,-4.394951305,1.568336521,-0.432576638,1.392938614,1.582286856,-0.21889722,4.109646901,1.403760988,0.068821655,2.689120681,3.96652382,0.245338717,1.914009535,0.332991312,-3.103061502,-0.880644037,0.060570862,1.500000314,0.639765532,0.313844224,-3.526263301,2.586702461,3.951511018,7.214807282
AD003,-8.001597898,-3.114628353,1.546107922,5.517233184,7.869729648,3.902781929,-8.200884474,1.658134651,2.160772949,-2.408124038,-0.718879955,-7.141170028,0.439613719,1.523472703,2.435727109,-4.7437186,1.491989208,2.582697336,4.286437537,-0.636894652,-5.103540882,8.202228809,-0.075655129,0.412673097,2.122531376,0.578653292,2.411655346,0.34507227,1.481725185,2.827407591,1.424770725,5.604958044,1.089669424,1.901625128,3.0735034,0.175627838,3.813736238,3.226572351,3.028523212,0.980499302,-2.840869144,2.542375195,2.513340831,2.372494041,-2.950963737,3.660455842,-4.37046061,3.212230878,1.940039485,3.5203156,0.843779922,-0.33650942,-1.588907044,1.471363636,-2.265441783,-4.6496812,2.612279172,1.803893929,2.891972206,1.907847932,2.962269681,-1.418491341,1.735396858,-1.453921488,0.944977089,1.931898595,0.161112324,-0.273415316,-2.273376632,-3.97306517,2.970796579,1.22365912,-4.03045018,3.926566595,4.193136246,2.586454815,1.808840533,-3.548281923,-0.43200804,1.606642162,-2.4143015,2.918710406,-2.112261085,-2.409975896,3.766111618,4.567139541,3.685999577,2.058702778,2.249094021,1.229955908,2.733088571,6.219031971,-1.107595696,-4.595813749,-1.29797859,-4.481612268,1.487884304,0.306374966,-0.00449099,5.483950372,-0.202954183,0.954325203,-4.738119844,-1.538030915,2.703798156,3.648671417,0.537798605,4.843222285,-0.301330311,7.371306912,1.823964184,2.115738713,0.958445349,0.83654246,0.831074832,0.235747159,3.385199892,-4.365829787,1.264042558,2.843974044,1.406605705,-12.81926116,8.845796355,3.317316744,-3.364208945,6.167340707,3.659816922,2.700065499,2.961592364,2.95245037,2.096540226,1.867087479,-3.611799172,5.376950513,0.677253856,-0.325698729,-3.061180331,2.523070444,2.082709622,-0.270630952,-5.738080162,-10.25991242,-4.194611709,2.242854307,-0.007569903,1.026629878,1.176528503,-0.293061463,4.034161535,1.403324477,0.205133242,2.63912991,4.18615239,0.515001159,2.044181475,-1.592628921,-3.093172522,-1.411903435,0.234759075,1.362933641,0.372348725,0.536894279,-3.939537818,2.533895994,3.649083501,6.953222609
AD374,-9.877049725,-3.302814977,1.16889777,5.139517784,8.266548468,4.008084418,-8.359165828,1.57782487,2.684234022,-2.201167623,0.218462286,-7.193631877,0.223182984,1.393218526,2.479942936,-4.845026842,1.349158768,2.301021274,4.215973649,-0.623531969,-5.583186389,7.809704298,0.09783528,1.434634521,2.290893911,0.299035678,2.450673317,0.325421117,1.572279987,3.033917991,1.132925832,5.497467053,0.958420589,2.276852616,3.220213966,0.454631527,3.458395939,3.535426,2.66092079,1.308727972,-3.301220895,2.190338734,2.328022351,2.432998993,-3.289262824,4.162413293,-4.259915037,2.942547786,2.38733411,3.890200706,1.39900718,-0.599393014,-1.398660088,1.735440135,-2.125715035,-4.512084007,3.188523639,1.995775788,2.80260119,1.105640881,2.015934191,-1.467498921,1.457709737,-1.418315449,1.011951846,1.57152181,0.089280721,-0.16494187,-1.970073362,-4.232503014,3.249211411,0.942376822,-3.732570025,4.132989299,4.740184011,2.625721157,1.297310503,-2.819929324,-0.886427736,1.874339455,-2.20858859,3.40927684,-2.134241722,-2.455048333,3.652240987,4.216249964,4.213737565,1.764913967,2.192000192,1.314133324,3.061205988,7.022495182,1.005354425,-4.515302373,-1.390715439,-4.838886968,1.490202833,0.302838658,-0.137572043,5.571243008,0.041604051,0.877496974,-5.114925768,-1.733228475,3.561378105,3.038093132,0.779433736,4.672640562,0.094270315,6.999080987,2.075296756,1.530854276,0.684831349,0.189317012,0.636289791,0.491834902,2.978161855,-3.443961093,1.233490403,2.853845196,1.143175349,-12.30498765,9.411257813,3.291433144,-3.409887055,6.413880428,3.591983378,2.910388179,2.365050739,3.224013545,2.233736891,1.906308659,-5.143970349,5.243921229,1.105524099,-0.269847723,-3.322840754,2.320555738,2.189778943,0.028158734,-5.852956301,-12.53734583,-4.184213064,1.485690624,-0.712873372,1.115175625,1.221720025,-0.325723441,3.339222069,1.03272543,0.341883732,2.78770549,4.311942982,0.060601757,0.782826197,0.979520031,-3.120429116,-1.249382677,0.089124014,1.440948436,0.609342992,0.487848721,-3.820935755,2.564759535,3.98774405,6.982837353
AD275,-7.653837774,-3.299063938,0.858770513,5.123075334,8.245907368,4.474306261,-6.906270532,1.374712067,2.711852726,-2.152781613,-0.160280366,-7.38324789,0.387659054,1.450953025,2.514804468,-4.752298614,1.311910549,2.52941954,3.809549145,-0.614288872,-4.958764512,9.540658055,0.379226787,0.968975257,2.339066005,0.197989891,2.289750141,0.332965912,1.907305867,2.826178524,1.292881034,5.464930401,0.606659742,2.018185757,3.189030812,0.082142705,3.563324395,3.56172273,2.898770474,0.720646021,-3.105382335,2.15815158,2.229229824,1.826453364,-2.860448357,4.166820257,-4.848270848,2.858097128,1.953309537,3.575480177,1.267450977,-0.269450414,-1.434534213,1.405826835,-1.628022516,-4.527076447,3.154722865,1.868615068,2.722302686,1.727650284,2.338952636,-1.406097333,1.470827578,-1.422093921,0.696794921,1.591286176,0.150934527,-0.203862338,-2.459568724,-3.681645466,3.071130722,0.831275142,-3.735798698,4.621907051,4.219573586,2.585812218,2.011352949,-3.033220774,-0.767561359,1.619880937,-2.71174938,2.716155257,-2.044935836,-2.296631078,3.530029113,4.506129651,4.059563934,1.47552807,2.280733548,2.036177885,3.209725229,7.036294927,0.51448416,-4.532741146,-1.455851487,-4.401369611,1.240799511,1.153695373,-0.210813561,5.862386463,0.378828827,1.2661718,-4.567006104,-2.553203876,3.14955122,3.516590057,0.914878067,5.043542311,-0.322588843,6.831299164,2.068384569,1.428845323,0.905683524,0.256303096,0.582989134,0.280158051,3.150778166,-4.742762374,1.341738754,2.556904734,1.473570301,-11.24942332,9.17656091,3.635638114,-3.354447683,6.321240405,3.576427388,2.769029886,2.584443724,3.420991974,2.267159217,1.907048318,-3.763506,4.958078784,0.555472857,-0.14837485,-3.300643822,2.688960333,1.918871107,0.09214285,-5.714722369,-11.20221271,-5.072678363,1.936233679,-0.432918904,1.151743941,0.867816987,-0.060048192,3.038059696,1.136822444,-0.007503483,2.457557729,4.12608642,0.364838871,0.835264972,-0.466506159,-2.721144342,-1.130355362,0.158174135,1.032904152,0.438079434,0.709034407,-3.292555594,2.736506017,3.86724921,6.8362528
